timesteps,episode_reward,episode_length
14600,-3.449765,50
14650,-3.777767,50
14700,-2.368175,50
14750,-2.209806,50
14800,-1.979538,50
14850,-2.604336,50
14900,-3.696666,50
14950,-3.248822,50
15000,-2.323715,50
15050,-2.535192,50
15100,-3.153537,50
15150,-1.725461,50
15200,-3.160434,50
15250,-2.116677,50
15300,-2.296994,50
15350,-3.961878,50
15400,-3.537098,50
15450,-2.861102,50
15500,-2.76592,50
15550,-2.348253,50
15600,-2.135881,50
15650,-1.743909,50
15700,-1.99043,50
15750,-1.645307,50
15800,-1.541416,50
15850,-2.535798,50
15900,-2.48596,50
15950,-2.657898,50
16000,-2.459366,50
16050,-2.613818,50
16100,-2.526683,50
16150,-1.708751,50
16200,-2.795782,50
16250,-1.685404,50
16300,-1.480756,50
16350,-1.753536,50
16400,-2.161655,50
16450,-2.417811,50
16500,-1.99232,50
16550,-1.638971,50
16600,-3.196089,50
16650,-1.725815,50
16700,-1.513897,50
16750,-1.936566,50
16800,-4.259869,50
16850,-2.46904,50
16900,-2.797358,50
16950,-3.820711,50
17000,-2.223863,50
17050,-1.946116,50
17100,-2.787363,50
17150,-2.482194,50
17200,-1.568907,50
17250,-1.651303,50
17300,-1.932977,50
17350,-2.740969,50
17400,-2.555516,50
17450,-1.594898,50
17500,-2.978233,50
17550,-1.873891,50
17600,-1.227785,50
17650,-2.347684,50
17700,-2.320013,50
17750,-2.345566,50
17800,-1.770068,50
17850,-1.473908,50
17900,-2.662881,50
17950,-1.754676,50
18000,-2.094853,50
18050,-1.665621,50
18100,-2.416446,50
18150,-2.504376,50
18200,-1.660455,50
18250,-1.843873,50
18300,-3.239165,50
18350,-2.188118,50
18400,-2.05054,50
18450,-1.703788,50
18500,-2.583334,50
18550,-2.556759,50
18600,-1.937238,50
18650,-2.021808,50
18700,-1.943328,50
18750,-2.888765,50
18800,-2.554253,50
18850,-3.223515,50
18900,-2.324817,50
18950,-1.170192,50
19000,-2.809271,50
19050,-4.099416,50
19100,-1.671509,50
19150,-3.125282,50
19200,-2.355761,50
19250,-4.137681,50
19300,-2.59917,50
19350,-2.372242,50
19400,-3.555082,50
19450,-2.330727,50
19500,-2.043754,50
19550,-2.33277,50
19600,-1.637265,50
19650,-1.983748,50
19700,-1.801031,50
19750,-2.412985,50
19800,-2.393345,50
19850,-1.909093,50
19900,-4.084655,50
19950,-2.728657,50
20000,-1.163668,50
20050,-2.51282,50
20100,-3.676636,50
20150,-2.293044,50
20200,-3.453697,50
20250,-2.115994,50
20300,-2.987135,50
20350,-2.351569,50
20400,-3.063153,50
20450,-2.757054,50
20500,-2.633881,50
20550,-2.75659,50
20600,-2.224627,50
20650,-2.206694,50
20700,-2.435911,50
20750,-2.699117,50
20800,-2.601374,50
20850,-2.474991,50
20900,-2.061058,50
20950,-2.720359,50
21000,-2.696804,50
21050,-2.649485,50
21100,-2.226839,50
21150,-2.213886,50
21200,-2.420075,50
21250,-2.800305,50
21300,-1.756565,50
21350,-2.716883,50
21400,-2.813038,50
21450,-2.696334,50
21500,-1.515351,50
21550,-2.099938,50
21600,-3.222027,50
21650,-1.558944,50
21700,-1.943442,50
21750,-2.270751,50
21800,-2.302119,50
21850,-1.959521,50
21900,-3.208194,50
21950,-2.74983,50
22000,-2.347205,50
22050,-2.297813,50
22100,-2.595941,50
22150,-2.464644,50
22200,-1.726001,50
22250,-2.46813,50
22300,-2.676552,50
